"DATES","DTBCFBNMD_N.M"
"Jan,87",17852.624
"Feb,87",20205.784
"Mar,87",23341.6
"Apr,87",17578.717
"May,87",11289.085
"Jun,87",20560.888
"Jul,87",18974.354
"Aug,87",14663.279
"Sep,87",20556.814
"Oct,87",16232.11
"Nov,87",13018.479
"Dec,87",10998.447
"Jan,88",18348.494
"Feb,88",16862.339
"Mar,88",20066.505
"Apr,88",16018.326
"May,88",17172.241
"Jun,88",22780.805
"Jul,88",11060.466
"Aug,88",14921.696
"Sep,88",18455.961
"Oct,88",17683.18
"Nov,88",16834.107
"Dec,88",10745.097
"Jan,89",11517.218
"Feb,89",10024.74
"Mar,89",23096.956
"Apr,89",11177.603
"May,89",18030.851
"Jun,89",18865.691
"Jul,89",11771.631
"Aug,89",12229.308
"Sep,89",11473.585
"Oct,89",20226.773
"Nov,89",14547.029
"Dec,89",16464.813
"Jan,90",10636.509
"Feb,90",10070.898
"Mar,90",15718.36
"Apr,90",12693.256
"May,90",19529.189
"Jun,90",22494.184
"Jul,90",14307.77
"Aug,90",11661.732
"Sep,90",12544.637
"Oct,90",17969.421
"Nov,90",22102.106
"Dec,90",18880.382
"Jan,91",15906.47
"Feb,91",25900.115
"Mar,91",29482.392
"Apr,91",24409.084
"May,91",27639.523
"Jun,91",23792.914
"Jul,91",18899.021
"Aug,91",26956.811
"Sep,91",23856.367
"Oct,91",23518.748
"Nov,91",23153.4
"Dec,91",23379.733
"Jan,92",34817.787
"Feb,92",26486.391
"Mar,92",29287.251
"Apr,92",22367.252
"May,92",35089.306
"Jun,92",36085.391
"Jul,92",37800.448
"Aug,92",28611.032
"Sep,92",36244.581
"Oct,92",29923.959
"Nov,92",28753.558
"Dec,92",32037.079
"Jan,93",42035.509
"Feb,93",44935.641
"Mar,93",53751.432
"Apr,93",33977.229
"May,93",36751.895
"Jun,93",55429.637
"Jul,93",40246.9
"Aug,93",44551.792
"Sep,93",50759.154
"Oct,93",45400.386
"Nov,93",42781.356
"Dec,93",35747.156
"Jan,94",45881.586
"Feb,94",36570.268
"Mar,94",44217.1
"Apr,94",24551.301
"May,94",33335.551
"Jun,94",33637.698
"Jul,94",21558.96
"Aug,94",32224.881
"Sep,94",23364.394
"Oct,94",26689.805
"Nov,94",28843.382
"Dec,94",21539.729
"Jan,95",28983.586
"Feb,95",29658.248
"Mar,95",35365.458
"Apr,95",27325.034
"May,95",44304.193
"Jun,95",46005.274
"Jul,95",29128.985
"Aug,95",33854.404
"Sep,95",40661.349
"Oct,95",39761.17
"Nov,95",45755.908
"Dec,95",32752.112
"Jan,96",40095.984
"Feb,96",47341.589
"Mar,96",48448.828
"Apr,96",35834.385
"May,96",50851.231
"Jun,96",53680.527
"Jul,96",30469.888
"Aug,96",34623.061
"Sep,96",47176.154
"Oct,96",52981.2947
"Nov,96",51663.735
"Dec,96",50006.313
"Jan,97",43555.148
"Feb,97",42947.657
"Mar,97",51063.133649
"Apr,97",38565.3525
"May,97",47309.223031
"Jun,97",78470.121
"Jul,97",66569.9727647
"Aug,97",53617.4267647
"Sep,97",85137.588362
"Oct,97",65037.8277647
"Nov,97",59283.055
"Dec,97",72664.6017059
"Jan,98",75380.599041
"Feb,98",85149.611954
"Mar,98",105477.21
"Apr,98",82386.927
"May,98",80939.28
"Jun,98",106852.930412
"Jul,98",74179.776453
"Aug,98",57811.228
"Sep,98",80706.991222
"Oct,98",67241.566
"Nov,98",104127.316741
"Dec,98",75868.532
"Jan,99",70515.11
"Feb,99",90876.598068
"Mar,99",120238.922
"Apr,99",82474.666
"May,99",105690.101
"Jun,99",94759.342
"Jul,99",93199.298
"Aug,99",87777.0765
"Sep,99",94803.0248
"Oct,99",60411.4679
"Nov,99",74434.149
"Dec,99",53645.087
"Jan,00",56163.403
"Feb,00",82617.241
"Mar,00",120137.042
"Apr,00",54363.297325
"May,00",79433.744375
"Jun,00",113353.9763
"Jul,00",75477.117475
"Aug,00",82116.270936
"Sep,00",107549.932576
"Oct,00",64765.161284
"Nov,00",97366.237818
"Dec,00",75203.054
"Jan,01",128095.618
"Feb,01",103409.558
"Mar,01",142148.938
"Apr,01",94900.792
"May,01",181249.211
"Jun,01",115503.309
"Jul,01",100643.057
"Aug,01",102125.464
"Sep,01",86493.843
"Oct,01",131246.166
"Nov,01",120654.163
"Dec,01",90834.937059
"Jan,02",104704.963
"Feb,02",93538.391
"Mar,02",164714.724
"Apr,02",103727.036753
"May,02",113370.224
"Jun,02",133280.156
"Jul,02",64251.056
"Aug,02",93229.488
"Sep,02",127761.2
"Oct,02",84139.244
"Nov,02",110678.433
"Dec,02",122272.067
"Jan,03",119658.233
"Feb,03",134299.553
"Mar,03",151023.584
"Apr,03",124003.811
"May,03",166871.113
"Jun,03",175984.64
"Jul,03",118027.715
"Aug,03",113336.151
"Sep,03",155877.389223
"Oct,03",131047.306
"Nov,03",143392.435
"Dec,03",124522.923
"Jan,04",129287.85
"Feb,04",146491.632
"Mar,04",172814.414
"Apr,04",121259.535
"May,04",132136.752
"Jun,04",181273.127
"Jul,04",154208.621
"Aug,04",178084.78
"Sep,04",206601.481
"Oct,04",156999.461
"Nov,04",187023.393
"Dec,04",152958.455666
"Jan,05",175605.548
"Feb,05",144101.677
"Mar,05",207345.012
"Apr,05",146716.8941
"May,05",188636.151531
"Jun,05",246719.233
"Jul,05",166095.238
"Aug,05",215299.25
"Sep,05",222998.10585
"Oct,05",180681.303
"Nov,05",207895.08746
"Dec,05",236915.172
"Jan,06",194956.6175
"Feb,06",204210.812
"Mar,06",240312.248
"Apr,06",177933.39252
"May,06",236315.7755
"Jun,06",259867.375
"Jul,06",128370.832
"Aug,06",195620.777
"Sep,06",254716.658
"Oct,06",202765.486
"Nov,06",246127.336
"Dec,06",254156.732
"Jan,07",183693.317975
"Feb,07",220969.109
"Mar,07",313920.549
"Apr,07",184157.625
"May,07",292412.923
"Jun,07",280482.565
"Jul,07",136550.447
"Aug,07",174143.817
"Sep,07",152131.676
"Oct,07",151021.826009
"Nov,07",120143.678008
"Dec,07",98161.524008
"Jan,08",114221.608167
"Feb,08",71481.465003
"Mar,08",73791.253472
"Apr,08",123713.851002
"May,08",137662.001003
"Jun,08",88933.915003
"Jul,08",34846.232002
"Aug,08",39303.255003
"Sep,08",36699.245001
"Oct,08",24129.244001
"Nov,08",43743.863001
"Dec,08",84403.300004
"Jan,09",78218.438
"Feb,09",99267.050001
"Mar,09",107149.968
"Apr,09",63893.547
"May,09",105611.528
"Jun,09",98928.592
"Jul,09",55390.978
"Aug,09",59463.82
"Sep,09",96564.764
"Oct,09",55060.086
"Nov,09",70240.003
"Dec,09",63079.631
"Jan,10",58989.962
"Feb,10",62668.264
"Mar,10",118955.543
"Apr,10",56541.233
"May,10",40388.342
"Jun,10",55208.314
"Jul,10",56805.905
"Aug,10",93387.285
"Sep,10",106397.395
"Oct,10",68815.644
"Nov,10",104109.679
"Dec,10",57648.256
"Jan,11",87026.986
"Feb,11",70710.425
"Mar,11",105209.502
"Apr,11",61958.977
"May,11",122111.565
"Jun,11",64529.084
"Jul,11",58865.05
"Aug,11",50429.447
"Sep,11",80803.986
"Oct,11",41426.279
"Nov,11",96190.272
"Dec,11",41412.096
"Jan,12",83530.298
"Feb,12",106595.71
"Mar,12",116375.129001
"Apr,12",64313.719
"May,12",92829.555
"Jun,12",87530.876
"Jul,12",85697.951
"Aug,12",93071.155
"Sep,12",133778.938
"Oct,12",115353.497
"Nov,12",140802.51
"Dec,12",85441.78
"Jan,13",126337.456
"Feb,13",112718.376
"Mar,13",103491.889
"Apr,13",108344.552
"May,13",118996.692
"Jun,13",61113.938
"Jul,13",91812.108
"Aug,13",75516.844
"Sep,13",163317.653
"Oct,13",114619.709
"Nov,13",136047.172
"Dec,13",84657.192
"Jan,14",95693.422
"Feb,14",115751.532
"Mar,14",136901.966
"Apr,14",109389.915
"May,14",133683.269
"Jun,14",152983.377
"Jul,14",89589.587
"Aug,14",75644.224
"Sep,14",153037.076
"Oct,14",107848.806
"Nov,14",175097.905
"Dec,14",76914.117
"Jan,15",92259.224
"Feb,15",167610.598
"Mar,15",150997.769
"Apr,15",146037.001
"May,15",189506.818
"Jun,15",126283.301
"Jul,15",147234.729
"Aug,15",68508.524
"Sep,15",120567.902
"Oct,15",116241.17
"Nov,15",119378.048
"Dec,15",66258.186
"Jan,16",62841.469
"Feb,16",142825.045
"Mar,16",125596.027
"Apr,16",86890.197
"May,16",205276.45
"Jun,16",128409.746
"Jul,16",93804.795
"Aug,16",122965.104
"Sep,16",129802.729
"Oct,16",119147.259
"Nov,16",108818.812
"Dec,16",77840.987
"Jan,17",158616.118
"Feb,17",120622.432
"Mar,17",176813.475001
"Apr,17",95671.793
"May,17",206373.584
"Jun,17",134584.236
"Jul,17",104768.056
"Aug,17",155325.191
"Sep,17",153609.111
"Oct,17",164179.386
"Nov,17",166489.674
"Dec,17",77915.213
"Jan,18",136186.591
"Feb,18",122792.803
"Mar,18",173307.159
"Apr,18",134833.252
"May,18",135753.953
"Jun,18",152594.081
"Jul,18",90735.005
"Aug,18",118346.112
"Sep,18",137867.327
"Oct,18",139180.875
"Nov,18",119616.22
"Dec,18",27414.402
"Jan,19",130009.463
"Feb,19",150782.169
"Mar,19",147909.438
"Apr,19",105957.045
"May,19",169846.172
"Jun,19",139288.083
"Jul,19",108537.34
"Aug,19",127107.094
"Sep,19",198566.993
"Oct,19",135653.824
"Nov,19",158366.074
"Dec,19",50693.856
